Name	University	Country	
Fereydoun Hormozdiari	Simon Fraser University	CA	
M. Katchalski	Technion - Israel Institute of Technology	IL	Complete_graph
E. Szemerédi	Haynal Imre University of Health Sciences Budapest	HU	Random_regular_graph
Endre Szemerédi	AISTEDA	RO	Random_graph;Regular_graphs
M. Naor	University of California, Berkeley	US	Universal_one-way_hash_function
Amit Weinstein	University of Illinois	US	
Steven Rudich	University of Cincinnati	US	
Mathias Schacht	Humboldt Universität Berlin	DE	
Naftali Tishby	Hebron University	PS	Dimension_reduction;Dimensionality_reduction;Hidden_Markov_models;Hidden_Markov_model
Amos Fiat	Tel Aviv University	IL	Online_algorithms;Data_structures;Decision_trees;Graph_traversal;Correlation_clustering
V. D. Milman	Tel Aviv University	IL	
Eli Berger	University of Haifa	IL	Complete_graph;Hypergraphs
Dirk Vertigan	Southeastern Louisiana University	US	
David S. Gunderson	University of Manitoba	CA	
Chris Faloutsos	Carnegie Mellon University	US	
Amélie Marian	Huanghe Science & Technology University	CN	
Jérôme Baumgarten	Ecole Polytechnique	FR	D_(data_language_specification)
Bogdan Alexe	University of Calabria	IT	
J. Naor	University of California, Berkeley	US	Parallel_algorithm
Karl Schnaitter	Morehouse College	US	Database_administrator
Pierre Kelsen	University of Fribourg	CH	Parallel_algorithm
Tom Yam	Tel Aviv University	IL	
Philipp Zumstein	University of Zürich	CH	
Ladislav Stacho	Simon Fraser University	CA	Geometric_graphs;Planar_graphs
E. Petrank	AISTEDA	RO	Polynomial-time_reduction
Mihai Budiu	Forest Research Institute Dehradun	IN	
Noam Slonim	AISTEDA	RO	Document_clustering;Feature_selection
Baruch Awerbuch	Johns Hopkins University	US	
Robert Berke	University of Zürich	CH	Independent_set_(graph_theory)
Saswata Shannigrahi Shannigrahi	CMJ University	IN	
Stefan Szeider	Technische Universität Wien	AT	Parameterized_complexity;Constraint_satisfaction
Irini Fundulaki	Thiel College	US	Linked_data;Data_management;Semantic_Web
C Pomerance	The Scripps Research Institute	US	
Phillip B. Gibbons	University of Pittsburgh	US	
Yakov Kogan	Hebrew University of Jerusalem	IL	
Shai Ben-David	University of Waterloo	CA	Algorithmic_learning_theory;Support_vector_machines;Computational_learning_theory;Online_algorithms
Sophie Cluet	AgroParisTech	FR	Query_languages;Query_language;XML_database;XML_databases
Dana Moshkovitz	Logistics Engineering University of PLA	CN	
David Peleg	Weizmann Institute of Science	IL	Distributed_algorithms;Distributed_algorithm;Online_algorithms;Approximation_algorithms;Data_structures
Anders Yeo	University of London	GB	Approximation_algorithms;Vertex_cover;Parameterized_complexity
K A Berman	Weizmann Institute of Science	IL	
Alberto O Mendelzon	University of Toronto	CA	Data_warehousing
Michael Molloy	University of Toronto	CA	Regular_graphs;Random_graphs;Random_graph;Degree_sequence
Nikolai Vereshchagin	Reformed Theological Academy of Debrecen	HU	Kolmogorov_complexity;Complexity_classes;Descriptive_complexity
N C Wormald	University of Auckland	NZ	Regular_graphs;Planar_graph;Chromatic_number
