Name	University	Country	
Heikki Mannila	Helsinki University of Technology	FI	http://dbpedia.org/resource/Machine_learning;http://dbpedia.org/resource/Data_mining;http://dbpedia.org/resource/Knowledge_discovery;http://dbpedia.org/resource/Data_analysis;http://dbpedia.org/resource/Visual_analytics
Alex J. Smola	Carnegie Mellon University	US	http://dbpedia.org/resource/Support_vector_machine;http://dbpedia.org/resource/Machine_learning;http://dbpedia.org/resource/Reproducing_kernel_Hilbert_space;http://dbpedia.org/resource/Optimization_problem
Alin Dobra	University of Florida	US	http://dbpedia.org/resource/Decision_tree;http://dbpedia.org/resource/Fault-tolerant_design
Ella Bingham	Indian Institute of Information Technology	IN	http://dbpedia.org/resource/Dimension_reduction;http://dbpedia.org/resource/Independent_component_analysis;http://dbpedia.org/resource/Mixture_model;http://dbpedia.org/resource/Feature_selection
Shimon Even	Duke University	US	http://dbpedia.org/resource/Graph_algorithm;http://dbpedia.org/resource/Network_flow;http://dbpedia.org/resource/Complexity_class
Uzi Vishkin	University of Mary	US	http://dbpedia.org/resource/Parallel_algorithm;http://dbpedia.org/resource/Parallel_computation;http://dbpedia.org/resource/Graph_algorithm;http://dbpedia.org/resource/Integer_sorting;http://dbpedia.org/resource/Pattern_matching
Yaron Kanza	University of Haifa	IL	http://dbpedia.org/resource/Relational_database;http://dbpedia.org/resource/Semantic_Web;http://dbpedia.org/resource/XML-Retrieval;http://dbpedia.org/resource/Query_language
François Goasdoué	AgroParisTech	FR	http://dbpedia.org/resource/Semantic_Web;http://dbpedia.org/resource/Amazon_Web_Services
Nicoleta Preda	Tama Institute of Management and Information Sciences	JP	http://dbpedia.org/resource/Web_service;http://dbpedia.org/resource/Knowledge_base
Abraham Silberschatz	Yale University	US	http://dbpedia.org/resource/Distributed_database;http://dbpedia.org/resource/Relational_database;http://dbpedia.org/resource/Transaction_Management_eXecutive;http://dbpedia.org/resource/Database_system
John Hopcroft	Cornell University	US	http://dbpedia.org/resource/Automata_theory;http://dbpedia.org/resource/Models_of_computation;http://dbpedia.org/resource/Formal_language;http://dbpedia.org/resource/Random_graphs;http://dbpedia.org/resource/Turing_machine
Jilles Vreeken	Nagaland University	IN	http://dbpedia.org/resource/High-dimensional_model_representation;http://dbpedia.org/resource/Categorical_data;http://dbpedia.org/resource/Neural_network;http://dbpedia.org/resource/Pattern_recognition
Nimrod Megiddo	Swiss Management Center	CH	http://dbpedia.org/resource/Approximation_algorithm;http://dbpedia.org/resource/Linear_programming;http://dbpedia.org/resource/Computational_complexity_theory;http://dbpedia.org/resource/Quadratic_programming
Jerzy Marcinkowski	Brock University	CA	http://dbpedia.org/resource/Computational_complexity_theory;http://dbpedia.org/resource/Horn_clauses;http://dbpedia.org/resource/Horn_clause;http://dbpedia.org/resource/Binary_tree;http://dbpedia.org/resource/First_order_theory
